"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"168 Oliver Pl, Oakville, ON L6H 1K8","L6H1K8","Oakville","ON","7498000","5","7","","","8295.612","sqft","https://zillow.com/homedetails/168-Oliver-Pl-Oakville-ON-L6H-1K8/2063726712_zpid/","43.459713","-79.71387","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/5dbf8d3457a0f1ecc88b8e36d03e0b9b-p_e.jpg"
"480 Scarsdale Cres, Oakville, ON L6L 3W7","L6L3W7","Oakville","ON","3198000","5","5","","","8202","sqft","https://zillow.com/homedetails/480-Scarsdale-Cres-Oakville-ON-L6L-3W7/2058451021_zpid/","43.412304","-79.71548","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/52bb0fd3311431cd1779ba6fb64e17f8-p_e.jpg"
"2338 Hyacinth Cres, Oakville, ON L6M 5M8","L6M5M8","Oakville","ON","3649900","5","5","","","0.27739638659320476","acres","https://zillow.com/homedetails/2338-Hyacinth-Cres-Oakville-ON-L6M-5M8/447734295_zpid/","43.42176","-79.74621","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/c010e95de33e3e3028e0e9e1a79295e6-p_e.jpg"
"3313 George Savage Ave, Oakville, ON L6M 5K5","L6M5K5","Oakville","ON","3269000","5","6","5219","626.37","5498.7973","sqft","https://zillow.com/homedetails/3313-George-Savage-Ave-Oakville-ON-L6M-5K5/449322093_zpid/","43.47668","-79.74968","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/c16dec0882132011807b750605b39c9e-p_e.jpg"
"416 Trafalgar Rd, Oakville, ON L6J 3H7","L6J3H7","Oakville","ON","3275000","4","4","","","0.34021848943985306","acres","https://zillow.com/homedetails/416-Trafalgar-Rd-Oakville-ON-L6J-3H7/2070802470_zpid/","43.45345","-79.67891","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/9fc39c01636fcc010ab8ed61730ad89b-p_e.jpg"
"2067 Marine Dr #14, Oakville, ON L6L 1B8","L6L1B8","Oakville","ON","749900","3","3","","","","","https://zillow.com/homedetails/2067-Marine-Dr-14-Oakville-ON-L6L-1B8/2063788700_zpid/","43.40221","-79.6993","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/54911f0f58411cd9c448ba868ed016a9-p_e.jpg"
"478 Southland Cres, Oakville, ON L6L 3N8","L6L3N8","Oakville","ON","1149999","4","3","","","7440","sqft","https://zillow.com/homedetails/478-Southland-Cres-Oakville-ON-L6L-3N8/2071899002_zpid/","43.409863","-79.71774","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/e91978eed0fa6a72ad31cf5e492e871b-p_e.jpg"
"1365 Bishopstoke Way, Oakville, ON L6J 7A7","L6J7A7","Oakville","ON","1649000","6","4","2366","696.96","5408.6711","sqft","https://zillow.com/homedetails/1365-Bishopstoke-Way-Oakville-ON-L6J-7A7/2058419652_zpid/","43.499622","-79.665665","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/7e2c79b5b5c7ddae33b5782d1d5fb6c2-p_e.jpg"
"2375 Bronte Rd #307, Oakville, ON L6M 4G4","L6M4G4","Oakville","ON","599900","2","2","","","","","https://zillow.com/homedetails/2375-Bronte-Rd-307-Oakville-ON-L6M-4G4/439606932_zpid/","43.412422","-79.7434","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/e518453a744384f842e772d279c0da2a-p_e.jpg"
"1238 Napier Cres, Oakville, ON L6H 2A4","L6H2A4","Oakville","ON","1049000","5","3","","","4375","sqft","https://zillow.com/homedetails/1238-Napier-Cres-Oakville-ON-L6H-2A4/449395925_zpid/","43.462532","-79.69762","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/6b4d535f2c592a5b13f7375b7f240de5-p_e.jpg"
"21 Ennisclare Dr E, Oakville, ON L6J 4N3","L6J4N3","Oakville","ON","18000000","5","7","","","0.71","sqft","https://zillow.com/homedetails/21-Ennisclare-Dr-E-Oakville-ON-L6J-4N3/2071857659_zpid/","43.462666","-79.64542","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/fc9d6577af566e0b53f0e60793a9696d-p_e.jpg"
"1522 Lancaster Dr #18, Oakville, ON L6H 2Z2","L6H2Z2","Oakville","ON","874900","3","2","1264","692.17","","","https://zillow.com/homedetails/1522-Lancaster-Dr-18-Oakville-ON-L6H-2Z2/449351797_zpid/","43.48133","-79.693085","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/546b23591d3e4a33677651805d3bbdd4-p_e.jpg"
"16 Ennisclare Dr W, Oakville, ON L6J 4N2","L6J4N2","Oakville","ON","12888000","5","6","","","0.2609345454545455","acres","https://zillow.com/homedetails/16-Ennisclare-Dr-W-Oakville-ON-L6J-4N2/2063753606_zpid/","43.46143","-79.64621","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/f700bb104504f997618fc065d8e5f7ce-p_e.jpg"
"536 Sandmere Pl, Oakville, ON L6L 4G4","L6L4G4","Oakville","ON","2980000","6","6","","","7820","sqft","https://zillow.com/homedetails/536-Sandmere-Pl-Oakville-ON-L6L-4G4/2078943335_zpid/","43.415462","-79.70781","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4007586c230166e8538ce8735e70a14f-p_e.jpg"
"233 Lakewood Dr, Oakville, ON L6K 1B3","L6K1B3","Oakville","ON","7988000","5","4","6569","1216.01","0.3698850436179981","acres","https://zillow.com/homedetails/233-Lakewood-Dr-Oakville-ON-L6K-1B3/442136100_zpid/","43.434544","-79.675575","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/e158ee1cb8981f683f7ab37bb97c8fc5-p_e.jpg"
"26 Holyrood Ave, Oakville, ON L6K 2V3","L6K2V3","Oakville","ON","8299000","","","","","0.75","sqft","https://zillow.com/homedetails/26-Holyrood-Ave-Oakville-ON-L6K-2V3/2076625010_zpid/","43.43241","-79.678","LOT","","","https://photos.zillowstatic.com/fp/2dd1294386fe29668710b9cc82edbd51-p_e.jpg"
"1125 Grandeur Cres, Oakville, ON L6H 4B2","L6H4B2","Oakville","ON","1489800","3","4","1765","844.08","5915.2929","sqft","https://zillow.com/homedetails/1125-Grandeur-Cres-Oakville-ON-L6H-4B2/366559308_zpid/","43.48597","-79.69872","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/89b462c01c034ddbcb5f911302b29e32-p_e.jpg"
"144 Mayla Dr, Oakville, ON L6H 3T4","L6H3T4","Oakville","ON","1950000","5","4","","","5495.282","sqft","https://zillow.com/homedetails/144-Mayla-Dr-Oakville-ON-L6H-3T4/449398695_zpid/","43.463295","-79.719696","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/09d788522e456bb5b92a45ac36a6b673-p_e.jpg"
"3191 George Savage Ave, Oakville, ON L6M 1L5","L6M1L5","Oakville","ON","1798888","4","4","","","3560.135","sqft","https://zillow.com/homedetails/3191-George-Savage-Ave-Oakville-ON-L6M-1L5/448260970_zpid/","43.473732","-79.74575","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/d7d9b44b98e4dc2b6fd9646e80efe0a2-p_e.jpg"
"2554 Dashwood Dr, Oakville, ON L6M 4C2","L6M4C2","Oakville","ON","1175000","3","3","1457","806.45","2732.5785","sqft","https://zillow.com/homedetails/2554-Dashwood-Dr-Oakville-ON-L6M-4C2/2067843145_zpid/","43.45167","-79.75446","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/81fa0573e13de361b412c755da37645d-p_e.jpg"
"2189 Shorncliffe Blvd, Oakville, ON L6M 3X2","L6M3X2","Oakville","ON","1049999","3","3","1425","736.84","2825.9663","sqft","https://zillow.com/homedetails/2189-Shorncliffe-Blvd-Oakville-ON-L6M-3X2/2068394952_zpid/","43.437996","-79.75383","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/fb3a6b27f472dcf8bf084e168a4b4da0-p_e.jpg"
"1051 Pinewood Ave, Oakville, ON L6J 2A2","L6J2A2","Oakville","ON","6282000","6","6","","","0.49931129476584024","acres","https://zillow.com/homedetails/1051-Pinewood-Ave-Oakville-ON-L6J-2A2/448379454_zpid/","43.459873","-79.664536","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/49875a64b2f9b0f788b231501e27344d-p_e.jpg"
"525 Dundas St E, Oakville, ON L6H 7L3","L6H7L3","Oakville","ON","1249999","4","4","2070","603.86","1483.8384","sqft","https://zillow.com/homedetails/525-Dundas-St-E-Oakville-ON-L6H-7L3/2068447952_zpid/","43.49321","-79.71475","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/b9ed0f23ec07a779cf638debd1c8b621-p_e.jpg"
"116 Chartwell Rd, Oakville, ON L6J 3Z6","L6J3Z6","Oakville","ON","9500000","4","6","","","0.44404044995408626","acres","https://zillow.com/homedetails/116-Chartwell-Rd-Oakville-ON-L6J-3Z6/447924945_zpid/","43.45458","-79.66005","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/e0438be1612992ed7e0e6a00296a06e2-p_e.jpg"
